ScanNo,ＯＷＬ�,経度,緯度,平面直�,平面��_1
1,"0",136.926198434,37.298103149,144064.626162015,-21318.513539953
2,"1",136.926270485,37.298150577,144069.873162015,-21312.112539953
3,"2",136.926322282,37.298175337,144072.609162015,-21307.513539953
4,"3",136.926441269,37.298186942,144073.870162015,-21296.961539953
5,"4",136.926575186,37.298193053,144074.518162015,-21285.087539953
6,"5",136.926660290,37.298158163,144070.627162015,-21277.552539953
7,"6",136.926759199,37.298155840,144070.347162015,-21268.784539953
8,"7",136.926806176,37.298192332,144074.386162015,-21264.609539953
9,"8",136.926898048,37.298196420,144074.819162015,-21256.463539953
10,"9",136.927010416,37.298175282,144072.448162015,-21246.507539953
11,"10",136.927019434,37.298109806,144065.180162015,-21245.726539953
12,"11",136.927072297,37.298065019,144060.198162015,-21241.052539953
13,"12",136.927185044,37.297992283,144052.101162015,-21231.077539953
14,"13",136.927156412,37.297947070,144047.090162015,-21233.628539953
15,"14",136.927122048,37.297909937,144042.977162015,-21236.685539953
16,"47",136.927075017,37.297918862,144043.978162015,-21240.852539953
17,"15",136.927076539,37.297886930,144040.434162015,-21240.726539953
18,"16",136.927004486,37.297861723,144037.653162015,-21247.121539953
19,"17",136.926907004,37.297826752,144033.794162015,-21255.773539953
20,"18",136.926846929,37.297847815,144036.145162015,-21261.093539953
21,"19",136.926829489,37.297816511,144032.675162015,-21262.648539953
22,"20",136.926836851,37.297767739,144027.261162015,-21262.009539953
23,"21",136.926792672,37.297709725,144020.833162015,-21265.942539953
24,"79",136.926668939,37.297750593,144025.396162015,-21276.900539953
25,"80",136.926630510,37.297690229,144018.706162015,-21280.324539953
26,"23",136.926678409,37.297631654,144012.195162015,-21276.094539953
27,"24",136.926631139,37.297612725,144010.105162015,-21280.290539953
28,"25",136.926564814,37.297652033,144014.482162015,-21286.159539953
29,"26",136.926491582,37.297649631,144014.232162015,-21292.652539953
30,"27",136.926501654,37.297703386,144020.195162015,-21291.744539953
31,"28",136.926422516,37.297738531,144024.113162015,-21298.750539953
32,"29",136.926339846,37.297689180,144018.655162015,-21306.093539953
33,"30",136.926281458,37.297732991,144023.530162015,-21311.257539953
34,"31",136.926287635,37.297777141,144028.428162015,-21310.697539953
35,"32",136.926270393,37.297864272,144038.101162015,-21312.201539953
36,"33",136.926234868,37.297932982,144045.734162015,-21315.331539953
37,"34",136.926198436,37.297978604,144050.805162015,-21318.548539953
38,"35",136.926213234,37.298046147,144058.297162015,-21317.217539953
39,"36",136.926255889,37.298093930,144063.590162015,-21313.422539953
40,"37",136.926326507,37.298127289,144067.276162015,-21307.152539953
41,"38",136.926453368,37.298128204,144067.349162015,-21295.905539953
42,"39",136.926550372,37.298135944,144068.186162015,-21287.303539953
43,"40",136.926657083,37.298113091,144065.626162015,-21277.849539953
44,"41",136.926775993,37.298117081,144066.042162015,-21267.306539953
45,"42",136.926880643,37.298132549,144067.735162015,-21258.024539953
46,"43",136.926951365,37.298143749,144068.962162015,-21251.751539953
47,"44",136.926966362,37.298088577,144062.836162015,-21250.437539953
48,"45",136.927022637,37.298017421,144054.927162015,-21245.468539953
49,"46",136.927056800,37.297982769,144051.074162015,-21242.449539953
50,"48",136.927013368,37.297934760,144045.756162015,-21246.313539953
51,"49",136.926931395,37.297960501,144048.631162015,-21253.573539953
52,"50",136.926906563,37.298051059,144058.686162015,-21255.749539953
53,"51",136.926809415,37.298035453,144056.976162015,-21264.366539953
54,"52",136.926712864,37.298016351,144054.878162015,-21272.931539953
55,"53",136.926614231,37.298031678,144056.601162015,-21281.671539953
56,"54",136.926523930,37.298037289,144057.244162015,-21289.675539953
57,"55",136.926447301,37.298038972,144057.448162015,-21296.468539953
58,"56",136.926388150,37.298074545,144061.409162015,-21301.702539953
59,"57",136.926318359,37.298047027,144058.371162015,-21307.897539953
60,"58",136.926273872,37.297979695,144050.909162015,-21311.860539953
61,"59",136.926364937,37.297960848,144048.797162015,-21303.792539953
62,"60",136.926457820,37.297941203,144046.596162015,-21295.563539953
63,"61",136.926546134,37.297936047,144046.004162015,-21287.735539953
64,"62",136.926623955,37.297974386,144050.241162015,-21280.825539953
65,"63",136.926717573,37.297954490,144048.012162015,-21272.531539953
66,"64",136.926807691,37.297981544,144050.994162015,-21264.534539953
67,"65",136.926827304,37.297921965,144044.378162015,-21262.812539953
68,"66",136.926741677,37.297915493,144043.679162015,-21270.405539953
69,"67",136.926650947,37.297896457,144041.587162015,-21278.454539953
70,"68",136.926570272,37.297886805,144040.534162015,-21285.609539953
71,"69",136.926551807,37.297819264,144033.043162015,-21287.265539953
72,"70",136.926475788,37.297845756,144036.000162015,-21293.997539953
73,"71",136.926397520,37.297866224,144038.289162015,-21300.930539953
74,"72",136.926333653,37.297852604,144036.792162015,-21306.596539953
75,"73",136.926386475,37.297796175,144030.518162015,-21301.929539953
76,"74",136.926463155,37.297778209,144028.507162015,-21295.136539953
77,"75",136.926540845,37.297751324,144025.506162015,-21288.256539953
78,"76",136.926627503,37.297816345,144032.702162015,-21280.555539953
79,"77",136.926716280,37.297860797,144037.615162015,-21272.672539953
80,"78",136.926712582,37.297796476,144030.478162015,-21273.018539953
1,"222",136.925989181,37.296971722,143939.116234914,-21337.384387255
2,"221",136.926037081,37.296985783,143940.665761183,-21333.133796668
3,"220",136.926063016,37.296960895,143937.897999845,-21330.841527229
4,"219",136.926146750,37.296965825,143938.426262850,-21323.416637452
5,"218",136.926162848,37.296998667,143942.067189446,-21321.980202098
6,"217",136.926227904,37.296998680,143942.053938439,-21316.212590685
7,"216",136.926268217,37.297022624,143944.701943340,-21312.631903595
8,"215",136.926275247,37.296950859,143936.736432851,-21312.028839220
9,"214",136.926356329,37.296944804,143936.046301134,-21304.842172663
10,"213",136.926404857,37.296945530,143936.115934389,-21300.539749019
11,"212",136.926403820,37.296989210,143940.963457138,-21300.619330393
12,"211",136.926456441,37.296960073,143937.718167158,-21295.962436799
13,"135",136.926361973,37.296859900,143926.622941970,-21304.365766260
14,"134",136.926316486,37.296860570,143926.707595584,-21308.398225902
15,"133",136.926246277,37.296861610,143926.838810650,-21314.622395614
16,"132",136.926167448,37.296862783,143926.986724377,-21321.610687146
17,"131",136.926090102,37.296868328,143927.619532339,-21328.466349192
18,"130",136.926038038,37.296890385,143930.079018599,-21333.075887600
19,"129",136.925993550,37.296921255,143933.514757973,-21337.011258478
20,"128",136.925948649,37.296927357,143934.202053434,-21340.990287751
21,"127",136.925894506,37.296938885,143935.493614067,-21345.787119323
22,"126",136.925858466,37.296933908,143934.949442553,-21348.983643586
23,"125",136.925901847,37.296960653,143937.907531181,-21345.130104736
24,"124",136.925943964,37.296996291,143941.852901231,-21341.386112192
25,"123",136.926026980,37.297024536,143944.968546258,-21334.018356220
26,"122",136.926131472,37.297041475,143946.824819704,-21324.749770896
27,"121",136.926218177,37.297035351,143946.125646451,-21317.064571240
28,"120",136.926254154,37.297059084,143948.751187923,-21313.868358328
29,"119",136.926352267,37.297045947,143947.271255954,-21305.173809958
30,"118",136.926464702,37.297030324,143945.512219403,-21295.210243608
31,"117",136.926494718,37.297086295,143951.716739368,-21292.533327285
32,"116",136.926508910,37.297160306,143959.926644658,-21291.254288531
33,"115",136.926623110,37.297163493,143960.254651478,-21281.128935376
34,"114",136.926646554,37.297076806,143950.629454188,-21279.074922441
35,"113",136.926669671,37.297029470,143945.371268344,-21277.038799009
36,"112",136.926741310,37.297052083,143947.864616737,-21270.681217724
37,"111",136.926822176,37.297051956,143947.832351035,-21263.512024190
38,"110",136.926812917,37.297107710,143954.021526708,-21264.317189077
39,"109",136.926797062,37.297165085,143960.392127627,-21265.706711629
40,"108",136.926818902,37.297239048,143968.595114442,-21263.749680888
41,"107",136.926904615,37.297244830,143969.217510497,-21256.149095440
42,"106",136.926993038,37.297226487,143967.162048003,-21248.315129208
43,"105",136.927050779,37.297197425,143963.924023600,-21243.204234280
44,"104",136.927118096,37.297164127,143960.213728981,-21237.245548196
45,"103",136.927155944,37.297179107,143961.867582499,-21233.885910933
46,"102",136.927181668,37.297214012,143965.735240470,-21231.595538296
47,"101",136.927153700,37.297274488,143972.452694629,-21234.058088726
48,"100",136.927129953,37.297339862,143979.712715932,-21236.145003837
49,"99",136.927097421,37.297441574,143991.007339866,-21239.000477738
50,"98",136.927023651,37.297471330,143994.325975896,-21245.532211420
