ScanNo,OWL_No,経度,緯度,平面直行_X,平面直行_Y
1,"150",136.919048620,37.301540780,144447.744000000,-21951.376000000
2,"151",136.919077840,37.301477100,144440.671000000,-21948.805000000
3,"152",136.919107140,37.301424930,144434.875000000,-21946.222000000
4,"153",136.919170950,37.301381110,144429.997000000,-21940.578000000
5,"154",136.919284420,37.301361040,144427.744000000,-21930.525000000
6,"155",136.919374000,37.301374720,144429.241000000,-21922.580000000
7,"156",136.919431030,37.301323030,144423.492000000,-21917.539000000
8,"157",136.919524040,37.301322480,144423.409000000,-21909.294000000
9,"158",136.919616060,37.301340420,144425.378000000,-21901.131000000
10,"159",136.919673590,37.301407200,144432.776000000,-21896.011000000
11,"160",136.919739140,37.301426700,144434.925000000,-21890.195000000
12,"161",136.919840960,37.301435490,144435.877000000,-21881.166000000
13,"162",136.919911950,37.301436650,144435.989000000,-21874.872000000
14,"163",136.919973050,37.301451800,144437.656000000,-21869.451000000
15,"164",136.920086180,37.301453330,144437.800000000,-21859.422000000
16,"165",136.920140960,37.301459420,144438.463000000,-21854.564000000
17,"166",136.920247550,37.301486240,144441.414000000,-21845.107000000
18,"167",136.920359210,37.301502600,144443.204000000,-21835.203000000
19,"168",136.920447150,37.301522520,144445.394000000,-21827.402000000
20,"169",136.920550170,37.301546490,144448.031000000,-21818.262000000
21,"170",136.920624200,37.301577010,144451.400000000,-21811.690000000
22,"171",136.920725000,37.301614000,144455.482000000,-21802.744000000
23,"172",136.920786020,37.301563270,144449.838000000,-21797.349000000
24,"173",136.920814330,37.301504070,144443.262000000,-21794.856000000
25,"174",136.920712410,37.301494720,144442.248000000,-21803.894000000
26,"175",136.920632300,37.301506380,144443.560000000,-21810.993000000
27,"176",136.920579490,37.301447960,144437.090000000,-21815.691000000
28,"177",136.920524390,37.301409520,144432.837000000,-21820.587000000
29,"178",136.920428500,37.301389860,144430.677000000,-21829.093000000
30,"179",136.920344320,37.301375850,144429.142000000,-21836.560000000
31,"180",136.920251610,37.301367580,144428.246000000,-21844.781000000
32,"181",136.920159320,37.301365090,144427.991000000,-21852.963000000
33,"182",136.920091280,37.301377350,144429.367000000,-21858.992000000
34,"183",136.920015300,37.301332110,144424.364000000,-21865.740000000
35,"184",136.919918120,37.301326290,144423.740000000,-21874.357000000
36,"185",136.919841810,37.301311600,144422.128000000,-21881.126000000
37,"186",136.919727060,37.301295470,144420.365000000,-21891.304000000
38,"187",136.919645540,37.301268440,144417.384000000,-21898.538000000
39,"188",136.919559740,37.301259230,144416.382000000,-21906.147000000
40,"189",136.919469870,37.301272650,144417.892000000,-21914.110000000
41,"190",136.919382740,37.301284280,144419.202000000,-21921.831000000
42,"191",136.919284330,37.301301110,144421.093000000,-21930.550000000
43,"192",136.919187480,37.301314670,144422.620000000,-21939.132000000
44,"193",136.919104750,37.301336290,144425.039000000,-21946.460000000
45,"194",136.919043350,37.301370800,144428.883000000,-21951.893000000
46,"195",136.918990010,37.301406660,144432.874000000,-21956.611000000
47,"196",136.918924830,37.301406200,144432.839000000,-21962.390000000
48,"197",136.918924100,37.301472560,144440.203000000,-21962.435000000
49,"198",136.918891020,37.301522680,144445.772000000,-21965.353000000
50,"199",136.918921420,37.301567520,144450.741000000,-21962.645000000
51,"200",136.918838330,37.301622720,144456.886000000,-21969.995000000
52,"201",136.918892040,37.301682920,144463.554000000,-21965.216000000
53,"202",136.918882160,37.301739280,144469.811000000,-21966.075000000
54,"203",136.918806620,37.301786350,144475.052000000,-21972.758000000
55,"204",136.918799460,37.301696040,144465.032000000,-21973.419000000
56,"205",136.918780980,37.301611170,144455.618000000,-21975.082000000
57,"206",136.918728970,37.301556700,144449.586000000,-21979.709000000
58,"207",136.918753930,37.301497590,144443.020000000,-21977.513000000
59,"208",136.918706880,37.301418690,144434.275000000,-21981.707000000
