立木ID,立木号,樹種,胸高直径,樹高,矢高,材積,ステータス,間伐,レ,境界木,除外木,確認,調査地?,コメント,幹周,経度,緯度,平面直?,平面??_1
1,-1,アテ,5.199999809,4.400000095,0,0.006182291,生立木,0,0,0,0,0,1,幼木,16.29999924,136.9191088,37.30150504,144443.765,-21946.056
2,-1,アテ,18.20000076,3.900000095,33.20000076,0.049719386,枯損木,0,0,0,0,0,1,幼木,57.09999847,136.9190776,37.30155894,144449.753,-21948.802
4,-1,アテ,27.20000076,20.20000076,0,0.529774487,生立木,1,0,0,0,0,1,幼木,85.40000153,136.9190477,37.3015622,144450.122,-21951.455
5,-1,アテ,10,4,0,0.020895218,枯損木,0,0,0,0,0,1,幼木,31.39999962,136.919025,37.30158855,144453.051,-21953.455
6,-1,スギ,44.09999847,23.70000076,2,1.441264987,生立木,0,0,0,0,0,1,,138.5,136.9188359,37.30153586,144447.248,-21970.236
7,-1,アテ,10.60000038,8.899999619,0,0.044884626,生立木,0,0,0,0,0,1,,33.29999924,136.9190144,37.30153736,144447.373,-21954.41
9,-1,アテ,20.79999924,15.60000038,0.800000012,0.24421525,生立木,0,0,0,0,0,1,,65.30000305,136.9190526,37.30141654,144433.956,-21951.063
10,-1,アテ,41.40000153,23,3.099999905,1.240097761,生立木,0,0,0,0,0,1,,130,136.9190857,37.30141443,144433.714,-21948.129
11,-1,アテ,8,6.800000191,0,0.020661358,生立木,0,0,0,0,0,1,幼木,25.10000038,136.9190801,37.30146013,144438.787,-21948.612
12,-1,スギ,32.97669983,22.5,3.680500031,0.838231444,生立木,0,0,0,0,0,1,,103.3000031,136.9191937,37.3013752,144429.336,-21938.564
13,-1,アテ,6.900000095,5.800000191,0,0.013547133,生立木,0,0,0,0,0,1,幼木,21.60000038,136.9191383,37.30145507,144438.212,-21943.448
14,-1,アテ,44.79999924,23.79999924,1.899999976,1.491475701,生立木,1,1,0,0,0,1,100年木,140.6999969,136.9192608,37.30129019,144419.887,-21932.639
18,-1,アテ,36.20000076,3,25.70000076,0.13460505,枯損木,1,0,0,0,0,1,幼木,113.6999969,136.9190592,37.30152494,144445.984,-21950.444
21,-1,スギ,70.5,27.89999962,1,4.149579525,生立木,0,0,0,0,0,1,,221.3999939,136.9188938,37.30144504,144437.156,-21965.131
23,-1,スギ,35.59999847,21.39999962,8.100000381,0.865518391,生立木,0,0,0,0,0,1,,111.8000031,136.9190064,37.30145007,144437.688,-21955.142
