fid,立木ID,立木番号,樹種,胸高直径,樹高,矢高,材積,ステータス,間伐,レ,境界木,除外木,調査地範囲,コメント,幹周,経度,緯度,平面直角Ｘ,平面直角Ｙ,エリア
1,2,-1,スギ,31.89849854,16.60000038,4.435800076,0.583357453,生立木,0,0,0,0,1,,99.90000153,136.9259705,37.29714202,143938.7729,-21338.14823,A1_5a
2,9,-1,スギ,37.42179871,18.5,4.73939991,0.869645655,生立木,0,0,0,0,1,,117.4000015,136.9259628,37.29711864,143936.1291,-21338.60477,A1_5a
3,13,-1,スギ,21.06499863,12.60000038,1.890599966,0.207916275,生立木,0,0,0,0,1,,65.90000153,136.9258869,37.2970966,143933.1123,-21345.1006,A1_5a
4,15,-1,スギ,32.48600006,15.19999981,1.7924999,0.552645326,生立木,0,0,0,0,1,,101.6999969,136.9259148,37.29709699,143933.3684,-21342.6418,A1_5a
5,21,-1,スギ,41.82500076,20.60000038,3.174900055,1.185604095,生立木,0,0,0,0,1,,131.3000031,136.925965,37.29707831,143931.687,-21338.02567,A1_5a
6,23,-1,スギ,54.4015007,25.20000076,3.106600046,2.34093523,生立木,0,0,0,0,1,,170.8999939,136.9260198,37.29705828,143929.8907,-21332.99828,A1_5a
7,25,-1,スギ,41.56169891,23.39999962,2.137500048,1.329994082,生立木,0,0,0,0,1,,130.3000031,136.9260194,37.29707852,143932.1258,-21333.22275,A1_5a
8,26,-1,スギ,56.26250076,23,4.456299782,2.273588419,生立木,0,0,0,0,1,,176.5,136.9260946,37.2970284,143927.1592,-21326.09958,A1_5a
9,27,-1,スギ,40.82120132,22.20000076,0.841699958,1.221517205,生立木,0,0,0,0,1,,128.1000061,136.9260713,37.29705416,143929.8291,-21328.40479,A1_5a
10,28,-1,スギ,43.28359985,23.39999962,1.959300041,1.43238306,生立木,0,0,0,0,1,,135.6999969,136.9260498,37.29707679,143932.1668,-21330.52021,A1_5a
11,29,-1,スギ,49.71440125,26.70000076,0.995899975,2.102904081,生立木,1,0,0,0,1,,156.1000061,136.9261468,37.29702603,143927.2954,-21321.47247,A1_5a
12,30,-1,スギ,36.00629807,22.89999962,1.003299952,1.001601934,生立木,0,0,0,0,1,,113,136.9262381,37.29702445,143927.8183,-21313.39231,A1_5a
